# Depto|codigo color (rojo)|ubic. texto x|y|rotacion nombre
# departamentos
PAIWAS|251|152|214|0
NUEVA GUINEA|249|328|580|0
EL RAMA|245|396|392|0
BLUEFIELDS|243|544|504|0
KUKRAHILL|241|556|440|0
LAGUNA DE PERLAS|239|540|372|0
EL TORTUGUERO|237|400|250|0
EL AYOTE|235|220|290|0
MUELLE DE LOS BUEYES|247|286|460|0
DESEMBOCADURA DE RIO GRANDE|255|586|218|0
LA CRUZ DE RIO GRANDE|253|396|136|0
CORN ISLAND|198|750|424|0
